learn
DECREE
DIRECTION
EVENT
EXCLUSION
FANTASY
FIGMENT
GENDER
GREED
IMPULSE
INCREMENT
LAW
MEMORY
MORAL
NONSENSE
OBSESSION
ORIGIN
PERJURY
REACTION
REMINDER
WISTFULNESS
